"PORT";"LON";"LAT"
"ACCIAROLI";15.02438339;40.17529056
"ACI CASTELLO";15.15625981;37.54537355
"ACI TREZZA";15.17129234;37.56375396
"ADAMANTAS";24.39665013;36.75672413
"AG NIKOLAOS VOLIMON";20.71870738;37.91634017
"AGIA GALINI RETHYMNOU";24.69012215;35.09411283
"AGIOS STEFANOS AVLIOTES";19.63335412;39.75506912
"AGROPOLI";14.97759904;40.35629206
"ALASSIO";8.197293599;44.01744236
"ALGHERO";8.312643531;40.56210556
"ALYKES";20.80809205;37.84826867
"ALYPA PALAIOKASTRITSAS";19.69922406;39.65410104
"AMALFI";14.6006314;40.63022925
"AMANTEA";16.05626704;39.13022322
"ANCONA";13.49616733;43.62645062
"ANDORA";8.157796633;43.94807478
"ANTSIRANANA";49.30296348;-12.25738909
"ANZIO";12.63185953;41.44599733
"ARBATAX";9.701593601;39.93771243
"ARENELLA";13.37875864;38.15097544
"ARENZANO";8.687293839;44.39900665
"ARGOSTOLI";20.4746708;38.10123331
"ARMA DI TAGGIA";7.86001167;43.82873948
"ASTAKOS";21.0745647;38.49857426
"ASTYPALAIA";26.37540153;36.5293448
"ATHINIOS";25.42616214;36.39054499
"AUGUSTA";15.22965344;37.23400841
"AVOLA";15.15018244;36.90306556
"BAGNARA CALABRA";15.81095958;38.30066963
"BAIA";14.07500403;40.8192527
"BALESTRATE";13.00524421;38.05699371
"BARI";16.85857573;41.13827705
"BARLETTA";16.29420365;41.32797763
"BASTIA";9.460314659;42.69595667
"BELLARIA";12.48226653;44.14114897
"BELVEDERE MARITTIMO";15.84712004;39.61276509
"BIANCO";16.15645281;38.08886111
"BISCEGLIE";16.50946712;41.24762769
"BORDIGHERA";7.676786495;43.77730574
"BOSA";8.456005246;40.28577503
"BRINDISI";17.97492104;40.66250004
"CAGLIARI";9.116017541;39.20558029
"CALA GONONE";9.638826078;40.28067463
"CALASETTA";8.370059246;39.11353354
"CALPE";0.069983872;38.63806297
"CALVI L LE ROUSSE";8.935306893;42.64766878
"CAMOGLI";9.146868243;44.34452582
"CAMPOLORO SANTA MARIA POGGIO";9.556344387;42.34238467
"CAMPORA SAN GIOVANNI";16.08470938;39.05817895
"CANNES";7.027095603;43.53449976
"CANNIGIONE";9.496444559;41.15423643
"CAORLE";12.86917485;45.58521327
"CAPO DORLANDO";14.77569982;38.16007249
"CAPOJALE";15.67593709;41.91764441
"CAPRAIA";9.859282973;43.05774409
"CAPRI";14.24399503;40.56169604
"CARIATI";16.94377142;39.50725421
"CARLOFORTE";8.311873426;39.14527938
"CARQUEIRANNE";6.077815059;43.08093759
"CASAMICCIOLA TERME";13.91198734;40.75336939
"CASTEL VOLTURNO";13.92390354;41.02222584
"CASTELLAMMARE DEL GOLFO";12.88220989;38.0329701
