"CFR";"loa"
1;6.86
10;12.95
100;8.5
10000;8.67
10001;8.78
10002;10.05
10003;13.32
10004;11.92
10005;7.55
10006;16.1
10007;10.72
10008;15.28
10009;18.26
1001;6.38
10010;22.65
10011;26.99
10012;12.01
10013;12.18
10014;26.17
10015;26.67
10016;21.73
10017;25.6
10018;23.95
10019;22.34
1002;8.45
10020;20.5
10021;27.4
10022;23.13
10023;25.85
10025;16.63
10026;28.45
10027;25.1
10028;13.7
10029;16.3
1003;11.95
10030;14.34
10031;6.44
10032;11.27
10033;19.65
10034;13.17
10035;13.35
10036;13.6
10037;26.45
10038;12.9
10039;13.55
1004;6.9
10040;13.58
10041;22.85
10042;27.5
10043;21.55
10044;28.15
10045;8.8
10046;20.95
10047;22.1
10048;9.54
10049;4.2
1005;11.14
10050;4.12
10051;26.2
10053;24.25
10054;11.13
10055;3.12
10057;25.79
10058;17.38
10059;3.3
1006;6.95
10060;14.05
10061;4
10062;5
10063;5
10064;4.5
10065;11.6
10066;7.46
10067;18.22
10068;11.22
10069;16.5
1007;6.18
10070;18.5
10071;4.7
10072;5.85
10073;11.25
10074;6.64
10075;10.93
10076;4.98
10077;20.76
10078;6.24
10079;7.2
1008;11.7
10080;17.7
10081;19.8
10082;11.90625
10083;18.25
10084;4.05
10085;18.55
10086;5.8
10087;7.22
10088;10.32
10089;26.47
1009;10.55
10090;11.57
10091;6.67
10092;16.8
10094;11.65
10095;16.4
10096;4.65
10097;6.9
10098;14.1
10099;8.1
101;8.47
1010;12.4
10100;5.41
10101;3.88
10102;4.4
10103;8.85
10105;23.77
10106;9.28
10107;6.5
10108;11.7
10109;16.24
1011;13.11
10110;8.5
10112;10.6
10113;10.22
10115;15.42
10116;15.1294117647059
10117;19.3
10118;20.01
10119;14.94
1012;10.15
10120;15.65
10121;11.98
10122;10.55
10123;4.28
10124;4.29
10125;3.78
10126;10.54
10128;4.85
10129;9.92
1013;12.9
10130;6.89
10131;17.52
10132;11.25
10133;4.78
10134;10.8
10135;6.8
10136;12.76
10137;5.73
10138;11.85
10139;17.3
1014;8.3
10140;16
10141;5.53
10142;5.1
10144;7.05
10145;4.8
10146;3.92
10147;12.92
10148;17.28
10149;11
1015;12.24
10150;24.05
10151;22.23
10152;12.2916666666667
10153;15.04
10154;22.4
10155;22.4
10156;26.6
10157;26.75
10159;22.3
1016;9.87
10160;12.18
10161;26.28
10162;25.06
10163;27.9
10164;25.05
10165;27.4
10166;22.69
10167;24.1
10168;6.13
10169;4.93
1017;10.575
10170;5.2
10171;27.2
10172;12.78
10173;12.94
10174;11.23
10175;15.14
10176;25.45
10177;8.93
10178;15.12
10179;29.47
1018;12.47
10180;14.84
10182;11.21
10183;22.26
10184;15.2928571428571
10185;14.98
10186;14.82
10187;25.1
10188;5.27666666666667
10189;27.6
1019;14.4
10190;4.19
10191;21.05
10192;14.08
10193;15.1111111111111
10194;15.07
10195;23.86
10196;14.66
10197;17.74
10198;6.49
10199;5.12
102;22.4
1020;11.62
10200;26.08
10202;13.09
10203;14.9833333333333
10204;15.32
10205;18.7
10207;20.5
10209;7
1021;9.345
10211;6.35
10212;21.8
10215;30.12
10216;17.95
10217;12.82
10218;20.57
10219;5.07
1022;9.45
10220;4.2
10227;4.7
1023;10.3
10237;5.1
10238;4.45
10239;4.5
1024;8.5
10240;5.38
10241;12.76
10242;12.5
10243;14.05
10244;4.5
10245;15.8
10246;5.08
10247;4.78
10248;5
10249;5.72
1025;11.08
10250;6.35
10251;14.85
10252;5.6
10253;5.76
10254;6.2
10255;5.96
10256;6.06
10257;7.6
10258;5.64
10259;4.93
1026;7.35
10260;5.47
10261;5.37
10262;6.65
10263;7.2
10264;4.55
10265;4.7
10266;7.2
10267;5.05
10268;11.1414285714286
10269;5
1027;8
10270;4.5
10271;11.505
10272;14.23
10273;13.63125
10274;6.7
10275;6.95
10276;5.53
10277;14.99
10278;6.29
10279;7.37
1028;6.75
10280;7.18
10281;14.76
10282;6.06666666666667
10284;13.19
10285;4.6
10286;4.6
10287;4.6
10288;13.77
10289;4.52
1029;6.08
10290;14.29
10292;6.13
10293;5.18
10295;5.7
10296;11.2
10297;6.18
10298;11.35
10299;6.09
103;4.48
1030;8.41384615384615
10300;6.2
10301;11.95
10302;9.45
10303;5.65
10304;9.12
10305;5.57
10306;5.19
10307;12.12
10308;11.9
10309;12.17
1031;5.33
10310;11.3
10311;4.9
10312;12.71
10313;12.56
10314;13.28
10315;14.18
10316;6.06
10317;12.98
10318;14.1
10319;13.2628571428571
1032;6.56
10320;13.42
10321;14.031
10322;7.43
10323;7.55
10324;7.9
10325;10.0671428571429
10327;9.27
10329;12.25
1033;23.5766666666667
10330;7.4
10331;6.22
10332;3.9
10333;5.78333333333333
10334;5.1
10335;5.95
10336;4.758
10337;4
10338;6.51
10339;8.5
1034;17
10340;5.12
10341;10.8
10342;4
10343;11.35
10345;13.16
10346;11.5
10347;11.02
10349;5.95
1035;19.15
10350;5.89
10351;6.75
10352;11.2
10353;5.9
10354;6
10356;7.5425
10357;6.3
10358;5.78
10359;5.81
1036;12.85
10360;5.9
10361;12.09
10362;12.05
10363;4.75
10364;12.05
10365;14.95
10366;12.05
10368;5
10369;4
1037;5.37
10370;4.45142857142857
10371;12.82
10372;11.9333333333333
10373;6.59
10374;5.4
10375;4.61
10376;4.54
10377;4.93
10378;4.63
10379;22.3
1038;9.3
10380;11.34
10381;6.18
10384;5.5
10385;4.6
10386;5.95
10387;13.18
10388;11.42
10389;4.53
1039;7.2
10390;13.6114285714286
10391;5.87
10392;11.54
10393;12.15
10394;10.75
10395;13.4842857142857
10396;14.24
10397;4.71
10398;13.13
10399;4.63
1040;8.08
10400;4.6
10401;13.42
10402;5.05
10403;4.65
10404;11.8
10405;5.37
10407;4.75
10408;11.13
10409;6.19
1041;7.61
10410;13.07
10411;11.15
10412;14.99
10413;5.89
10414;14.99
10415;21.25
10416;15.2
10417;8.6
10418;8.15
10419;4.95
1042;18.75
10420;16.86
10422;17.7
10423;15.6
10424;6.18
10425;15.0444444444444
10426;17.55
10427;16.43
10428;15.12
10429;16.98
1043;6
10430;17.3
10431;12.94
10432;17.2
10433;16.81
10434;11.43
10435;6.1
10436;6.14
10437;5.98
10438;4.28
10439;4.35
1044;8.78
10440;4
10441;5.3
10442;4.7
10443;4.95
10444;5
10445;5.35
10446;5.13
10448;5.6
10449;5.6
1045;17
10450;5.45
10451;6.39
10452;5.55
10453;5.8
10454;5.5
10455;6.5
10456;6.1
10457;6.15
10458;6
10459;6.5
1046;10.6
10460;5.8
10462;6.19
10463;6.17
10465;6.52857142857143
10466;6.2
10467;6.1
10468;6.15
10469;6.79
1047;10
10470;5.84625
10471;6.1
10472;8.38
10473;7
10474;6.4
10475;6
10476;22.3
10477;19.4
10478;5.66
1048;18.45
10480;28.13
10481;6.9
10482;26.34
10483;26.68
10484;6
10485;23.55
10486;21.3
10487;25.7
10488;22.1
10489;26.18
1049;7.06
10490;24.1
10491;21.4
10492;23.8
10493;25.65
10494;21.58
10495;22.05
10496;28.67
10497;22.19
10498;6.6
10499;4.98
105;4.24
1050;12.22
10500;7.08
10501;4.85
10502;5.5
10503;4.95
10504;4.92
10505;5.1
10506;4.94
10507;5.75
10508;6.2
10509;4.95
1051;10.9
10510;6
10511;6.2
10512;6.08
10513;5.58
10514;6.16
10515;6.3
10516;4.93
10517;4.05
10518;5
10519;6.5
1052;17
10520;7.34
10522;12.24
10523;4.902
10524;3.8
10525;4.9
10527;4.95
10528;20.6
10529;17.4988888888889
1053;19.5
10530;4.42
10531;24.9
10532;14.4571428571429
10533;17.53
10534;10.56
10535;4.96666666666667
10537;21.27
10538;11.65
10539;16.4
10540;5.85
10542;6.01
10545;11.8
10547;31.24
1055;9.94
10551;19.65
10552;12
10553;16.05
10554;6.59
10555;7.49
10556;6.8
10557;16.09
10558;16.96
10559;8.51
1056;7.21
10560;20.85
10561;17.35
10562;19.08
10563;19.65
10564;19.32
10565;20.7
10566;13.8066666666667
10567;22.02
10568;20.8
1057;18.67
10570;17.75
10572;16.18
10573;7.93
10574;20.9
10575;17.28
10576;7.77
10577;19.25
10578;8.8
10579;12.61
1058;5.55
10580;7
10581;20.59
10582;21.95
10583;16.2
10584;21.4
10585;21.77
10586;12.62
10587;17.64
10588;16.6
10589;6.9
1059;16.88
10590;16
10591;22.92
10592;19.6766666666667
10593;18.1
10594;21.26
10595;11.85
10596;22.15
10597;9.83
10598;20.95
10599;22.55
106;3.91
1060;23.5
10600;21.94
10601;22.18
10602;26.55
10603;17.67
10604;22.85
10605;20.7
10606;20.69
10607;21.2
10608;20.21
10609;22.38
1061;6.25
10610;9.26
10611;16.09
10612;17.7
10613;26.15
10614;22.89
10615;25.68
10616;19.25
10617;8.81
10618;21.55
10619;10.28
1062;9.1
10620;10.85
10621;11.74
10622;9.664
10623;17.5
10624;21.4
10625;11.05
10626;21.97
10627;24.65
10628;8.87
10629;18.06
1063;10.9
10630;19.95
10631;15.6
10632;8.62
10634;20.51
10635;19.07
10636;19.4
10637;9.15
10638;9.04
10639;5.3
1064;7.21
10640;7.12
10641;5.12
10642;9.02
10643;9.48
10645;6.95
10646;7.99
10647;6.13
10648;12.02
10649;12.78
1065;6.32
10650;24.36
10651;13
10652;6.2
10653;10.77
10654;7.32
10655;16.13
10656;7.87
10657;6.7
10658;16.45
10659;10.29
1066;10.65
10660;10.85
10661;8.44
10662;9.72
10663;7.66666666666667
10664;11.07
10665;20.32
10666;9.94166666666667
10667;10.92
10668;9.47
10669;19.94
1067;12.3
10670;8.73
10671;8.85
10672;6.6
10673;20.35
10674;6.8
10675;20.17
10676;7.9
10677;21.03
10678;15.33
10679;14.15
1068;11.05
10680;14.33
10681;13.9
10682;22.39
10683;15.09
10684;14.5
10685;22.62
10686;20.9
10687;20.11
10688;14.55
10689;14.89
1069;10.1533333333333
10690;13.9
10691;10.9
10692;12.79
10693;20.35
10694;7.31
10695;16.62
10696;7.35
10697;16
10698;10.2
10699;6.36857142857143
107;4.28333333333333
1070;16.08
10700;6.8
10701;12.6
10702;18.75
10703;18.2
10704;7
10705;8.44
10706;8.05
10707;17.7
10708;6.1
10709;9.77
